S.no,Account_id,Account_name,Account_status,Account_DL
1,738603781623,dig-empastcmgt-gld-001,ACTIVE,dl-dig-empastcmgt-gld-001@anthem.com
2,903720677508,csbd-ctmaccimpl-slvr-001,ACTIVE,dl-csbd-ctmaccimpl-slvr-001@anthem.com
3,487390973862,csbd-comintmgt-slvr-005,ACTIVE,dl-csbd-comintmgt-slvr-005@anthem.com
4,349690949931,dig-wkflcoptm-slvr-005,ACTIVE,dl-dig-wkflcoptm-slvr-005@anthem.com
5,247711762239,irx-regcompmgt-plat-002,ACTIVE,dl-irx-regcompmgt-plat-002@anthem.com
6,411286698714,gbd-ctmaccbill-gld-002,ACTIVE,dl-gbd-ctmaccbill-gld-002@anthem.com
7,642968826475,csbd-claimstmt-slvr-002,ACTIVE,dl-csbd-claimstmt-slvr-002@anthem.com
8,002425207066,gbd-ctmaccbill-plat-001,ACTIVE,dl-gbd-ctmaccbill-plat-001@anthem.com
9,409155953822,irx-mbrelgdet-gld-001,ACTIVE,dl-irx-mbrelgdet-gld-001@anthem.com
10,709665814042,gbd-mbrenrmgt-gld-001,ACTIVE,dl-gbd-mbrenrmgt-gld-001@anthem.com
11,457241424093,csbd-ctmaccbill-plat-001,ACTIVE,dl-csbd-ctmaccbill-plat-001@elevancehealth.com
12,210532206089,irx-claimlcmgt-plat-001,ACTIVE,dl-irx-claimlcmgt-plat-001@anthem.com
13,158291017728,irx-bnftcfg-plat-003,ACTIVE,dl-irx-bnftcfg-plat-003@anthem.com
14,865620352564,dig-anlinsig-slvr-001,ACTIVE,dl-dig-anlinsig-slvr-001@anthem.com
15,513296441689,corp-sharedservedadna3-slvr-002,ACTIVE,dl-corp-sharedservedadna3-slvr-002@anthem.com
16,916044042746,sharedservices-np,ACTIVE,dl-core-sharedservices-np-lztest@anthem.com
17,075462445880,dig-svcengctr-gld-001,ACTIVE,dl-dig-svcengctr-gld-001@anthem.com
18,921459684514,irx-hltdecsup-gld-002,ACTIVE,dl-irx-hltdecsup-gld-002@anthem.com
19,513551684789,gbd-netoptm-gld-001,ACTIVE,dl-gbd-netoptm-gld-001@anthem.com
20,477925901247,csbd-infsecmgmt-plat-004,ACTIVE,dl-csbd-infsecmgmt-plat-004@anthem.com
21,239495440887,corp-invtgmgt-gld-002,ACTIVE,dl-corp-invtgmgt-gld-002@anthem.com
22,007864611303,csbd-mbrenrmgt-plat-001,ACTIVE,dl-csbd-mbrenrmgt-plat-001@anthem.com
